,company_name,tic,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses
9261,SYNPLICITY INC,SYNP,59.699,67.087,1.075,0.0,2.821,1.842,4.663,55.879,0.0,22.239,2.214,-14.623,8.851,56.95399999999999,156.5564,22.239,56.95399999999999,52.291
9262,SYNPLICITY INC,SYNP,72.10300000000001,78.637,0.528,0.0,2.747,5.192,7.939,61.407,0.0,24.791,6.553999999999999,-7.771,12.632,61.935,224.349,24.791,61.935,53.996
9263,SYNPLICITY INC,SYNP,77.949,83.809,0.516,0.0,2.651,2.377,5.0280000000000005,62.027,0.0,25.694000000000003,3.175,-4.584,10.323,62.543,168.1749,25.69400000000001,62.543,57.515
9264,SYNPLICITY INC,SYNP,67.744,101.35,2.984,0.0,4.263,2.842,7.105,68.182,1.308,28.614,13.092,8.672,15.513,71.166,152.8242,31.358,71.166,64.061
2045,SYNTHETECH INC,3NZYM,6.45,10.494000000000002,6.071000000000001,0.0,0.5429999999999999,-3.987,-3.444,-0.252,3.599,1.406,-3.5010000000000003,-0.053,0.467,5.819,4.2114,1.406,5.819,9.263
2046,SYNTHETECH INC,3NZYM,7.586,11.332,8.773,0.0,0.496,0.242,0.738,4.137,4.7780000000000005,2.001,0.193,0.14,2.195,12.91,13.0923,2.001,12.91,12.172
2047,SYNTHETECH INC,3NZYM,8.2,12.111,11.231,0.0,0.476,-1.111,-0.635,3.33,4.34,3.752,-1.1740000000000002,-1.034,2.46,14.561,8.0476,3.752,14.561,15.196
2048,SYNTHETECH INC,3NZYM,8.622,13.007,13.815,0.715,0.499,1.308,1.807,6.047000000000001,5.027,2.687,1.151,0.1169999999999999,2.669,19.862,8.057,3.402,19.862,18.055
2049,SYNTHETECH INC,3NZYM,9.225,13.275,9.503,0.505,0.523,1.359,1.882,5.7410000000000005,5.056,1.948,1.157,1.274,2.7960000000000003,15.244000000000002,8.799,2.4530000000000003,15.244000000000002,13.362
4480,SYRATECH CORP,SYRA,181.274,266.517,212.617,165.0,8.582,18.35,26.932,96.011,94.096,57.835,5.189,-3.199,69.267,308.628,22.704,245.18,308.628,281.696
4481,SYRATECH CORP,SYRA,217.302,301.09,251.111,148.55,8.618,21.327,29.945,107.469,92.749,107.201,1.917,-5.252000000000001,103.637,358.58,21.758000000000003,278.866,358.58,328.635
4482,SYRATECH CORP,SYRA,158.234,237.371,194.665,157.634,9.985,1.574,11.559,81.819,74.949,47.982,-11.468,-20.641,57.53,276.48400000000004,1.2866,227.243,276.48400000000004,264.925
4483,SYRATECH CORP,SYRA,137.85,202.746,179.18599999999998,153.584,9.801,-3.916,5.885,73.274,58.198,55.114,-35.611999999999995,-58.517,51.582,252.46,0.7568,226.806,252.46,246.575
